ref_id,classification,filename,authors,year,title,journal_or_conference,volume,issue,pages,doi,url,publisher,document_type,topic,relevance_to_current_article,claims_supported,primary_source_verified,doi_verified,ieee_reference,notes
R24,BACKGROUND,7_waliszewski.pdf,Krzysztof Waliszewski; Ewa Cichowicz; Łukasz Gębski; Filip Kliber; Jakub Kubiczek; Paweł Niedziółka; Małgorzata Solarz; Anna Warchlewska,2024,Digital loans and buy now pay later from LendTech versus bank loans in the era of `black swans': Complementarity in the area of consumer financing,Equilibrium. Quarterly Journal of Economics and Economic Policy,19,1,241-278,10.24136/eq.2982,https://doi.org/10.24136/eq.2982,Institute of Economic Research (Poland),journal_article,"LendTech, BNPL, crédito al consumo","Empirical Polish study of complementarity between LendTech digital loans/BNPL and bank consumer credit under COVID-19/war 'black swan' shocks, including effects of anti-usury regulation; context for consumer over-indebtedness and the non-bank lending landscape around debt collection.",C-03; C-08 (contexto),YES,YES,"K. Waliszewski et al., “Digital loans and buy now pay later from LendTech versus bank loans in the era of ‘black swans’: Complementarity in the area of consumer financing,” Equilibrium. Quarterly Journal of Economics and Economic Policy, vol. 19, no. 1, pp. 241–278, Mar. 2024, doi: 10.24136/eq.2982.","Prior-inventory title '7_waliszewski' is a filename artifact; real title and 8 authors extracted from the PDF (printed citation line verified; diacritics Gębski/Niedziółka confirmed in the PDF text, author hint spelled the file 'Gbski'). | Printed data (p-ISSN 1689-765X, e-ISSN 2353-3293, ORIGINAL ARTICLE, Volume 19 Issue 1 March 2024, article history Received 29.02.2023 / Accepted 5.03.2024 / Published online 30.03.2024) matches Crossref."
R25,BACKGROUND,Agentic_AI_Autonomous_Intelligence_for_Complex_GoalsA_Comprehensive_Survey.pdf,Deepak Bhaskar Acharya; Karthigeyan Kuppan; B. Divya,2025,Agentic AI: Autonomous Intelligence for Complex Goals--A Comprehensive Survey,IEEE Access,13,,18912-18936,10.1109/ACCESS.2025.3532853,https://doi.org/10.1109/ACCESS.2025.3532853,IEEE,journal_article,"IA agéntica, survey — ref [10] del manuscrito","IEEE Access survey of agentic AI (definitions, architectures, applications incl. finance, ethics/governance/alignment); supports background claims about autonomy levels, accountability, transparency and governance of agentic LLM systems.",C-13,YES,YES,"D. B. Acharya, K. Kuppan, and B. Divya, “Agentic AI: Autonomous intelligence for complex goals — A comprehensive survey,” IEEE Access, vol. 13, pp. 18912–18936, 2025, doi: 10.1109/ACCESS.2025.3532853.","Páginas 18912–18936 confirmadas (PDF + Crossref). En C-07 se clasificó NO_SUPPORT: solo asevera que los sistemas agénticos “may replicate and exacerbate biases” sin estudiarlo (regla de auditoría: refs agénticas no como evidencia de amplificación de sesgo). Uso válido: C-13 (taxonomía multimodelo). | Hint verified: DOI 10.1109/ACCESS.2025.3532853, IEEE Access vol. 13, pp. 18912-18936 (2025); first PDF page prints 'Digital Object Identifier 10.1109/ACCESS.2025.3532853', '18912' and 'VOLUME 13, 2025'; end page 18936 from Crossref. | Received 1 January 2025 / accepted 19 January 2025 / published 22 January 2025 as printed."
R26,CORE,Ann Public Coop Econ - 2023 - Segovia‐Vargas - Sustainable finance  The role of savings and credit cooperatives in Ecuador.pdf,María Jesús Segovia-Vargas; I. Marta Miranda-García; Freddy Alejandro Oquendo-Torres,2023,Sustainable finance: The role of savings and credit cooperatives in Ecuador,Annals of Public and Cooperative Economics (Ann Public Coop Econ),94,3,951-980,10.1111/apce.12428,https://doi.org/10.1111/apce.12428,Wiley,journal_article,"Cooperativas de ahorro y crédito de Ecuador, finanzas sostenibles — ref [1]",Machine-learning analysis of overall and microcredit-portfolio profitability of all 510 Ecuadorian savings and credit cooperatives (COACs); manuscript ref [1] per the hint - supports claims about ML use in cooperative/microcredit finance and the financial-inclusion context in Ecuador.,C-01; C-02; C-30,YES,YES,"M. J. Segovia-Vargas, I. M. Miranda-García, and F. A. Oquendo-Torres, “Sustainable finance: The role of savings and credit cooperatives in Ecuador,” Annals of Public and Cooperative Economics, vol. 94, no. 3, pp. 951–980, Sep. 2023, doi: 10.1111/apce.12428.","pdftotext returned no text for this PDF (encoding issue); text recovered with PyMuPDF - all printed metadata below read from the recovered text. | Page 1 prints 'SPECIAL ISSUE', 'DOI: 10.1111/apce.12428', '© 2023 The Authors. Annals of Public and Cooperative Economics published by John Wiley & Sons Ltd on behalf of Edgard Milhaud Foundation', and 'Ann Public Coop Econ. 2023;94:951-980.' | Issue 3 is printed only in the Wiley download watermark ('14678292, 2023, 3') and confirmed by Crossref; hint verified exactly (94(3):951-980, DOI 10.1111/apce.12428)."
R27,BACKGROUND,AntiFraude.pdf,Ibrahim Y. Hafez; Ahmed Y. Hafez; Ahmed Saleh; Amr A. Abd ElMageed; Amr A. Abohany,2025,A systematic review of AI-enhanced techniques in credit card fraud detection,Journal of Big Data,12,,"Article 6, 35 pages",10.1186/s40537-024-01048-8,https://doi.org/10.1186/s40537-024-01048-8,SpringerOpen,journal_article,"Fraude con tarjeta de crédito, IA","Systematic review of ML/DL/meta-heuristic techniques and datasets for credit card fraud detection (2019-2024 papers); supports claims about AI/ML deployment against financial fraud, an adjacent financial-risk application to collections, and about evaluation practice in financial AI.",C-06 (apoyo débil),YES,YES,"I. Y. Hafez, A. Y. Hafez, A. Saleh, A. A. Abd ElMageed, and A. A. Abohany, “A systematic review of AI-enhanced techniques in credit card fraud detection,” Journal of Big Data, vol. 12, Art. no. 6, 2025, doi: 10.1186/s40537-024-01048-8.","Printed header 'Hafez et al. Journal of Big Data (2025) 12:6' uses Springer article-number citation style: vol. 12, article 6 (35 pages, 'Page 2 of 35' footers); Crossref records issue 1 and no page field. | Hint verified: DOI 10.1186/s40537-024-01048-8 resolves to this exact title/authors."
R28,SUPPORTING,Artificial intelligence and augmented intelligence collaboration Regaining trust and confidence in the financial sector.pdf,Alison Lui; George William Lamb,,Artificial intelligence and augmented intelligence collaboration: Regaining trust and confidence in the financial sector,,,,,,,Taylor & Francis,journal_article,"Confianza en el sector financiero, IA y colaboración humano-máquina","Doctrinal law article (Liverpool John Moores University) on AI in banking including evidence of algorithmic bias/discrimination in credit decisions, Equality Act 2010/GDPR gaps and FCA regulatory response; supports claims about fairness/bias concerns and the regulatory landscape for automated credit and consumer-finance decisions.",C-17,PARTIAL (PDF abierto; sin metadatos impresos),CANDIDATE_ONLY,"A. Lui and G. W. Lamb, “Artificial intelligence and augmented intelligence collaboration: Regaining trust and confidence in the financial sector,” Information & Communications Technology Law, vol. 27, no. 3, pp. 267–283, 2018, doi: 10.1080/13600834.2018.1488659.","El PDF del corpus es un typescript SIN metadatos impresos (sin revista/año/DOI). Identidad CANDIDATA vía Crossref (10.1080/13600834.2018.1488659) — verificar contra la versión publicada antes de citar. | No journal name, year, volume, issue, pages or DOI are printed anywhere in the 18-page PDF (no headers/footers; appears to be the author typescript of a law journal article); prior inventory had no journal/DOI for it either. | Crossref bibliographic title query returns DOI 10.1080/13600834.2018.1488659, Information & Communications Technology Law 27(3):267-283 (2018), authors Lui Alison; Lamb George William - candidate only, not printed in the PDF; verify against the published version before citing. | Content cites sources dated up to April 2018, consistent with a 2018 publication year."
R29,BACKGROUND,behavsci-11-00047-v2.pdf,Mandukhai Ganbat; Erdenebileg Batbaatar; Ganzul Bazarragchaa; Togtuunaa Ider; Enkhjargalan Gantumur; Lkhamsuren Dashkhorol; Khosgarig Altantsatsralt; Mandakhbayar Nemekh; Erdenebaatar Dashdondog; Oyun-Erdene Namsrai,2021,Effect of Psychological Factors on Credit Risk: A Case Study of the Microlending Service in Mongolia,Behavioral Sciences,11,,47,10.3390/bs11040047,https://doi.org/10.3390/bs11040047,MDPI,journal_article,"Factores psicológicos, riesgo de crédito, microcrédito","Empirical study (n=1118 Mongolian microloan borrowers) showing psychometric/psychological factors predict loan repayment/default. Supports background claims on alternative and behavioral credit-risk scoring used by lenders; no LLM, no fairness audit.",C-03,YES,YES,"M. Ganbat et al., “Effect of psychological factors on credit risk: A case study of the microlending service in Mongolia,” Behavioral Sciences, vol. 11, no. 4, Art. no. 47, 2021, doi: 10.3390/bs11040047.","MDPI citation printed as 'Behav. Sci. 2021, 11, 47' omits the issue number; issue 4 appears in DOI (10.3390/bs11040047) and Crossref. | '47' printed as article number, not a page range."
R30,CORE,Building_an_effective_chatbot_for_optimizing_the_d.pdf,Keerthana Sivamayilvelan; Elakkiya Rajasekar; Subramaniyaswamy Vairavasundaram; Santhi Balachandran; Ketan Kotecha; Ambarish Kulkarni,2026,Building an effective chatbot for optimizing the debt collection process through large language models,Journal of Big Data,13,,16,10.1186/s40537-025-01351-y,https://doi.org/10.1186/s40537-025-01351-y,SpringerOpen,journal_article,Chatbot con LLM para optimizar cobranza — ref [4],"CORE: builds and evaluates an LLM (GPT-3.5/Llama 2) chatbot that automates debt-collection messaging, classifies customer risk, offers flexible-payment recommendations and escalates to human collectors. Directly supports claims about automating debt collection with LLMs and the design/evaluation of such systems.",C-04; C-05; C-27; C-29,YES,YES,"K. Sivamayilvelan, E. Rajasekar, S. Vairavasundaram, S. Balachandran, K. Kotecha, and A. Kulkarni, “Building an effective chatbot for optimizing the debt collection process through large language models,” Journal of Big Data, vol. 13, Art. no. 16, 2026, doi: 10.1186/s40537-025-01351-y.","FECHA CORRECTA: publicado online 2026-01-11 (Crossref). El manuscrito dice “dic. 2026” — corregir a ene. 2026 (OI-01). DIRECT para C-04/C-05 (chatbot de cobranza con LLM). | Filename is truncated ('...the_d.pdf'). | PDF running header cites 'Journal of Big Data (2026) 13:16' (article number 16, 35 pp.); Crossref records vol 13, issue 1, article-number 16, published online 2026-01-11 (issued date-parts 2026-01-11). No printed page range (online journal)."
R31,SUPPORTING,CAAI Trans on Intel Tech - 2022 - Chi - Investigating the customer trust in artificial intelligence  The role of.pdf,Nguyen Thi Khanh Chi; Nam Hoang Vu,2023,"Investigating the customer trust in artificial intelligence: The role of anthropomorphism, empathy response, and interaction",CAAI Transactions on Intelligence Technology,8,,260-273,10.1049/cit2.12133,https://doi.org/10.1049/cit2.12133,Wiley (CAAI),journal_article,"Confianza en IA, antropomorfismo, empatía","Survey (n=507) of bank/telecom customers in Vietnam on what drives trust in AI applications/chatbots (empathy response matters; anthropomorphism and interaction act via communication quality). Supports claims about trust, disclosure and design of conversational agents in financial services.",C-05,YES,YES,"N. T. K. Chi and N. H. Vu, “Investigating the customer trust in artificial intelligence: The role of anthropomorphism, empathy response, and interaction,” CAAI Transactions on Intelligence Technology, vol. 8, no. 1, pp. 260–273, 2023, doi: 10.1049/cit2.12133.","Año de cita correcto: 2023 (online-first 2022). | '2022' in the filename is the online-first year, not the citation year: PDF running footer prints 'CAAI Trans. Intell. Technol. 2023;8:260-273' and back-matter self-citation '8(1), 260-273 (2023)'; Crossref published-online 2022-08-19, published-print 2023-03, vol 8 issue 1 pp 260-273. Catalog as 2023. | PDF first page prints no issue number (only DOI, title, dates); issue 1 comes from Crossref and the in-PDF self-citation."
R32,CORE,cfpb_chatbot-issue-spotlight_2023-06.pdf,Consumer Financial Protection Bureau,2023,Chatbots in consumer finance,,,,,,https://www.consumerfinance.gov/data-research/research-reports/,Consumer Financial Protection Bureau (EE. UU.),government_report,"Chatbots en finanzas de consumo, riesgos, supervisión","CORE: CFPB Issue Spotlight (June 2023) documenting how banks' chatbots (incl. LLM-based) cause consumer harm - wasted time, junk fees, inaccurate information, blocked access to human help - and legal obligations of financial institutions. Regulatory anchor evidence for harms of chatbot-based debt-collection/customer-service systems.",C-06; C-08; C-11,YES,N/A,"Consumer Financial Protection Bureau, “Chatbots in consumer finance,” Issue Spotlight, Jun. 2023. [Online]. Disponible: https://www.consumerfinance.gov/data-research/research-reports/","Reporte gubernamental SIN DOI (el DOI del inventario previo 10.3390/info13010041 era de otro paper MDPI — descartado). Fuente primaria autoritativa para protección del consumidor, aunque no es revisada por pares. | Prior inventory DOI 10.3390/info13010041 is WRONG: it points to an unrelated MDPI Information paper; the CFPB report prints no DOI anywhere (government report, no Crossref record). Do not keep that DOI. | Subtitle printed: 'Issue spotlight'; header prints 'CONSUMER FINANCIAL PROTECTION BUREAU | JUNE 2023'."
R33,SUPPORTING,ChenEtal2023JCEBSFromFictionToFact.pdf,Boyang Chen; Zongxiao Wu; Ruoran Zhao,2023,From fiction to fact: The growing role of generative AI in business and finance,Journal of Chinese Economic and Business Studies,21,4,471-496,10.1080/14765284.2023.2245279,https://doi.org/10.1080/14765284.2023.2245279,Taylor & Francis,journal_article,IA generativa en negocios y finanzas — ref [14],"Manuscript ref [14]: review of generative AI (ChatGPT) applications in business and finance incl. an LLM financial-sentiment experiment; supports intro/background claims about genAI adoption, capabilities, and limitations in financial settings.",C-05; C-11,YES,YES,"B. Chen, Z. Wu, and R. Zhao, “From fiction to fact: the growing role of generative AI in business and finance,” Journal of Chinese Economic and Business Studies, vol. 21, no. 4, pp. 471–496, 2023, doi: 10.1080/14765284.2023.2245279.","PDF is the author-deposited 'Peer reviewed version' (Edinburgh Research Explorer / SSRN 4528225), not the publisher PDF; its embedded citation block matches Crossref exactly. | Authors in the repository wrapper page are 'B, Wu, Z & Zhao, R' shorthand; full names printed on article page 2: Boyang Chen, Zongxiao Wu, Ruoran Zhao."
R34,BACKGROUND,fhumd-7-1579166.pdf,Uwe M. Borghoff; Paolo Bottoni; Remo Pareschi,2025,Human-artificial interaction in the age of agentic AI: a system-theoretical approach,Frontiers in Human Dynamics,7,,1579166,10.3389/fhumd.2025.1579166,https://doi.org/10.3389/fhumd.2025.1579166,Frontiers Media,journal_article,"Interacción humano-IA agéntica, teoría de sistemas","System-theoretic framework for human-AI interaction that explicitly argues hybrid/agentic AI decision systems in finance etc. need traceable action paths, auditability and human oversight. BACKGROUND/SUPPORTING for claims about agentic AI governance; no debt-collection or fairness measurement.",C-06; C-13,YES,YES,"U. M. Borghoff, P. Bottoni, and R. Pareschi, “Human-artificial interaction in the age of agentic AI: a system-theoretical approach,” Frontiers in Human Dynamics, vol. 7, Art. no. 1579166, 2025, doi: 10.3389/fhumd.2025.1579166.","El DOI del inventario previo (10.1109/FIE58773.2023.10343328) era de otro paper IEEE — descartado. | Prior inventory DOI 10.1109/FIE58773.2023.10343328 is WRONG (unrelated IEEE FIE conference paper); the PDF prints ONLY 10.3389/fhumd.2025.1579166 (Frontiers), validated via Crossref (issued 2025). | Pages printed as Frontiers article number 1579166 ('Front. Hum. Dyn. 7:1579166'); Crossref page field empty."
R35,SUPPORTING,GrimmelmannWestreich.final_.pdf,James Grimmelmann; Daniel Westreich,2017,Incomprehensible Discrimination,California Law Review Online,7,,164,10.15779/Z38707WN47,https://doi.org/10.15779/Z38707WN47,California Law Review,journal_article,"Discriminación algorítmica, impacto dispar, derecho","Law-review essay (fictional Zootopia Supreme Court opinion) on whether an algorithm that is predictive but whose disparate impact cannot be explained constitutes illegal discrimination; companion piece to Barocas and Selbst, 'Big Data's Disparate Impact'. Supports legal-framework claims for opaque/unfair scoring algorithms in sensitive decisions (hiring analog; transferable to credit/collections).",C-25,YES,YES,"J. Grimmelmann and D. Westreich, “Incomprehensible discrimination,” California Law Review Online, vol. 7, p. 164, Mar. 2017, doi: 10.15779/Z38707WN47.","DOI verificado vía DataCite (no está en Crossref; resuelve en lawcat.berkeley.edu). Ensayo jurídico (formato ficción de opinión judicial) — útil para el argumento de impacto dispar, no es empírico. | DOI printed on p. 1 as 'https://dx.doi.org/10.15779/Z38707WN47' is NOT in Crossref (HTTP 404 on retry) but is a valid registered DOI: DataCite API returns title 'Incomprehensible Discrimination', publisher 'California Law Review', publicationYear 2017, and it resolves (302) to https://lawcat.berkeley.edu/record/1128018 (CDL/EZID registration). doi_verified=YES on the strength of DataCite + resolution. | Printed header: 'California Law Review Online, Vol. 7, March 2017' with 'Copyright (c) 2016 by California Law Review, Inc.'; article starts on p. 164 (end page not captured in excerpt). | Prior inventory had no title/journal recorded; essay format (fictional opinion) may need document-type note."
R36,SUPPORTING,ijfs-11-00090-v2.pdf,Hassan H. H. Aldboush; Marah Ferdous,2023,"Building Trust in Fintech: An Analysis of Ethical and Privacy Considerations in the Intersection of Big Data, AI, and Customer Trust",International Journal of Financial Studies,11,,90,10.3390/ijfs11030090,https://doi.org/10.3390/ijfs11030090,MDPI,journal_article,Ética y privacidad en fintech — ref [6],"Manuscript ref [6]: systematic review of ethical/privacy issues (bias, discrimination, transparency, justice) of AI and big data in financial services and their effect on customer trust. Supports claims on documented AI-bias/ethics concerns in fintech and corporate-responsibility remedies.",C-06; C-08; C-11; C-17,YES,YES,"H. H. H. Aldboush and M. Ferdous, “Building trust in fintech: An analysis of ethical and privacy considerations in the intersection of big data, AI, and customer trust,” International Journal of Financial Studies, vol. 11, no. 3, Art. no. 90, Sep. 2023, doi: 10.3390/ijfs11030090.","NO_SUPPORT para C-05 (no trata automatización de cobranza; su texto es ética/privacidad/confianza). Uso válido: C-06/C-08/C-11/C-17. | Printed citation 'Int. J. Financial Stud. 2023, 11, 90' omits the issue number; issue 3 appears in DOI (10.3390/ijfs11030090) and Crossref. | '90' printed as MDPI article number, not a page range."
R37,SUPPORTING,isre.2022.0152.pdf,Ulrich Gnewuch; Stefan Morana; Oliver Hinz; Ralf Kellner; Alexander Maedche,2023,More Than a Bot? The Impact of Disclosing Human Involvement on Customer Interactions with Hybrid Service Agents,Information Systems Research,,,,10.1287/isre.2022.0152,https://doi.org/10.1287/isre.2022.0152,INFORMS,journal_article,"Agentes de servicio híbridos, divulgación de IA","Randomized field + online experiments on whether disclosing human involvement behind an AI chatbot changes customer interaction (more human-oriented style, higher employee workload). Supports claims about chatbot transparency/disclosure and human-backup designs in customer service.",C-05,YES,YES,"U. Gnewuch, S. Morana, O. Hinz, R. Kellner, and A. Maedche, “More than a bot? The impact of disclosing human involvement on customer interactions with hybrid service agents,” Information Systems Research, vol. 35, no. 3, pp. 936–955, 2024, doi: 10.1287/isre.2022.0152.","El PDF es la versión Articles-in-Advance (sin vol/págs); datos finales vía Crossref: 35(3):936–955, 2024. | PDF is the INFORMS 'Articles in Advance' version (online 23 Aug 2023; copyright 2023): NO volume/issue/pages printed. Final version per Crossref: Information Systems Research 35(3), 936-955, issued 2024. Catalog with the Crossref issue data. | PDF metadata subject line reads 'Information Systems Research 0.0' (no issue data)."
R38,BACKGROUND,journal.pone.0245964.pdf,Wei Sun; Alisher Tohirovich Dedahanov; Ho Young Shin; Wei Ping Li,2021,Using extended complexity theory to test SMEs' adoption of Blockchain-based loan system,PLOS ONE,16,2,e0245964,10.1371/journal.pone.0245964,https://doi.org/10.1371/journal.pone.0245964,PLOS,journal_article,"Adopción de blockchain en préstamos, SMEs","Survey of factors (complexity, perceived risk/fairness) affecting SME adoption of a government-supervised blockchain-based loan system. Marginal relevance: digital-lending platform context only; no LLM, debt collection, or fairness content.",C-03 (apoyo débil),YES,YES,"W. Sun, A. T. Dedahanov, H. Y. Shin, and W. P. Li, “Using extended complexity theory to test SMEs’ adoption of blockchain-based loan system,” PLOS ONE, vol. 16, no. 2, Art. no. e0245964, 2021, doi: 10.1371/journal.pone.0245964.","DOI del inventario previo truncado (10.1016/j) — corregido. | Prior inventory DOI truncated garbage '10.1016/j' is WRONG; the DOI printed in the PDF (header/citation, 'PLoS ONE 16(2): e0245964', published 2021-02-05) and confirmed via Crossref is 10.1371/journal.pone.0245964."
R39,SUPPORTING,journal.pone.0289724.pdf,Ke Peng; Yan Peng; Wenguang Li,2023,Research on customer churn prediction and model interpretability analysis,PLOS ONE,18,12,e0289724,10.1371/journal.pone.0289724,https://doi.org/10.1371/journal.pone.0289724,PLOS,journal_article,"Churn prediction, interpretabilidad de modelos",Banking ML study: GA-XGBoost churn-prediction model plus SHAP-based interpretability of feature impact. Supports claims that banking ML models need explainability/interpretability tooling (SHAP) and that black-box models are analyzed post hoc.,C-10,YES,YES,"K. Peng, Y. Peng, and W. Li, “Research on customer churn prediction and model interpretability analysis,” PLOS ONE, vol. 18, no. 12, Art. no. e0289724, 2023, doi: 10.1371/journal.pone.0289724.","DOI del inventario previo truncado (10.1371/j) — corregido. | Prior inventory DOI truncated '10.1371/j' is WRONG; the DOI printed in the PDF (header/citation, 'PLoS ONE 18(12): e0289724', published 2023-12-08) and confirmed via Crossref is 10.1371/journal.pone.0289724."
R40,CORE,kuan-et-al-2025-behavioral-nudges-prevent-loan-delinquencies-at-scale-a-13-million-person-field-experiment.pdf,Robert Kuan; Kristin Blagg; Benjamin L. Castleman; Rajeev Darolia; Jordan D. Matsudaira; Katherine L. Milkman; Lesley J. Turner,2025,Behavioral nudges prevent loan delinquencies at scale: A 13-million-person field experiment,PNAS,122,4,e2416708122,10.1073/pnas.2416708122,https://doi.org/10.1073/pnas.2416708122,National Academy of Sciences,journal_article,"Nudges conductuales previenen morosidad, experimento de campo de 13 M personas",Six-arm RCT with 13 million US federal student-loan borrowers: behaviorally-informed emails (savings framed in percentage vs dollars; one vs two action steps) reduce delinquencies by 0.42 pp. Supports claims about the design and measured efficacy of borrower-facing communications in loan repayment/debt-collection contexts.,C-03; C-29,YES,YES,"R. Kuan, K. Blagg, B. L. Castleman, R. Darolia, J. D. Matsudaira, K. L. Milkman, and L. J. Turner, “Behavioral nudges prevent loan delinquencies at scale: A 13-million-person field experiment,” Proc. Natl. Acad. Sci. U.S.A., vol. 122, no. 4, Art. no. e2416708122, Jan. 2025, doi: 10.1073/pnas.2416708122.","Pages printed as PNAS article number e2416708122 ('1 of 8'), published January 23, 2025; Crossref page field empty (article number in DOI)."
R41,SUPPORTING,kuyer-gordijn-2023-nudge-in-perspective-a-systematic-literature-review-on-the-ethical-issues-with-nudging.pdf,Paul Kuyer; Bert Gordijn,2023,Nudge in perspective: A systematic literature review on the ethical issues with nudging,Rationality and Society,35,2,191-230,10.1177/10434631231155005,https://doi.org/10.1177/10434631231155005,SAGE,journal_article,"Ética del nudging, revisión sistemática","Systematic review of ethical issues with nudging (autonomy, welfare, long-term adverse effects, democracy/deliberation). Supports normative discussion of behavioral nudges/messaging used in debt-collection and repayment campaigns.",C-06,YES,YES,"P. Kuyer and B. Gordijn, “Nudge in perspective: A systematic literature review on the ethical issues with nudging,” Rationality and Society, vol. 35, no. 2, pp. 191–230, 2023, doi: 10.1177/10434631231155005.",
R42,SUPPORTING,main.pdf,Subburaj Alagarsamy; Sangeeta Mehrolia,2023,Exploring chatbot trust: Antecedents and behavioural outcomes,Heliyon,9,,e16074,10.1016/j.heliyon.2023.e16074,https://doi.org/10.1016/j.heliyon.2023.e16074,Elsevier,journal_article,"Confianza en chatbots, antecedentes","Survey of 435 users of four Indian banking chatbots on antecedents and outcomes of chatbot trust (attitude, satisfaction, behavioural intention). Supports claims about drivers and consequences of consumer trust in banking chatbots.",C-05,YES,YES,"S. Alagarsamy and S. Mehrolia, “Exploring chatbot trust: Antecedents and behavioural outcomes,” Heliyon, vol. 9, no. 5, Art. no. e16074, 2023, doi: 10.1016/j.heliyon.2023.e16074.","Generic filename 'main.pdf' hides the work; PDF prints 'Heliyon 9 (2023) e16074' (available online 6 May 2023), issue 5 only from Crossref. | Exactly two authors printed (Alagarsamy, Mehrolia), not 'et al.' as the hint phrased it."
R43,NEEDS_VERIFICATION,Nudging debtors with non performing loans Evidence from three field experiments.docx,,,,,,,,,,Por confirmar (candidato: Elsevier JBEF),journal_article,"Nudges a deudores con NPL, tres experimentos de campo","Behavioral field experiments (n=32,000, Latvia, with CMS firm Intrum) on nudging defaulted debtors: repeated reminders help slightly; personalization, social norms and a red envelope fail or backfire. Supports claims about what message-level interventions do and do not achieve with NPL debtors, and about backfiring of collection outreach.",C-04; C-29,PARTIAL (texto del docx abierto; identidad no impresa),CANDIDATE_ONLY,"A. Saulitis, “Nudging debtors with non performing loans: Evidence from three field experiments,” Journal of Behavioral and Experimental Finance, vol. 37, Art. no. 100776, 2023, doi: 10.1016/j.jbef.2022.100776. [CANDIDATO — identidad no impresa en el archivo]","El archivo es un .docx SIN página de título ni autores impresos (empieza en el Abstract). Identidad CANDIDATA por coincidencia de texto/título vía Crossref (Saulitis, JBEF 37:100776, 2023) y un hipervínculo interno a ScienceDirect PII S2214635022000983. El metadato de autor del docx es “Ethgar Hernán Changoluisa Lasluisa” (posible editor/descargador, NO asumir autoría). VERIFICAR contra la versión publicada antes de citar. | No title page, authors, journal or year are PRINTED in the extracted docx text (document starts directly at the Abstract; the docx package has no header/footer parts). | Crossref title query matches DOI 10.1016/j.jbef.2022.100776 (Journal of Behavioral and Experimental Finance vol 37, 2023, article 100776, single author Andris Saulitis) - CANDIDATE identity only, inferred, not printed. | Embedded ScienceDirect hyperlink references article page PII S2214635022000983, consistent with that JBEF article (link evidence, not printed text). | No authorship assumption made from the file name or from the docx creator field."
R44,SUPPORTING,peter-et-al-2025-the-benefits-and-dangers-of-anthropomorphic-conversational-agents.pdf,"Sandra Peter, Kai Riemer, Jevin D. West",2025,The benefits and dangers of anthropomorphic conversational agents,PNAS,122,22,e2415898122,10.1073/pnas.2415898122,https://doi.org/10.1073/pnas.2415898122,National Academy of Sciences,journal_article,Beneficios y peligros de agentes conversacionales antropomórficos (PERSPECTIVE),"PNAS Perspective (not empirical research): LLM systems now mimic human communication so convincingly that deception, manipulation and disinformation at scale are the central risks (anthropomorphic seduction). Supports the risk framing for persuasive LLM systems such as debt-collection chatbots, and the motivation for auditing persuasive AI.",C-05; C-06,YES,YES,"S. Peter, K. Riemer, and J. D. West, “The benefits and dangers of anthropomorphic conversational agents,” Proc. Natl. Acad. Sci. U.S.A., vol. 122, no. 22, Art. no. e2415898122, May 2025, doi: 10.1073/pnas.2415898122.","Es un PERSPECTIVE (no artículo de investigación). Citar como opinión experta, no como evidencia empírica. | Printed article type is PERSPECTIVE (first-page banner), not a research article - use accordingly when citing. | Citation identifier is the article number e2415898122; no page range printed (Crossref page blank). | Affiliations printed: University of Sydney Business School (Peter, Riemer); Center for an Informed Public, University of Washington (West). Published May 16, 2025."
R45,SUPPORTING,PIIS2405844022002481.pdf,"Maryem Naili, Younès Lahrichi",2022,"Banks’ credit risk, systematic determinants and specific factors: recent evidence from emerging markets",Heliyon,8,,e08960,10.1016/j.heliyon.2022.e08960,https://doi.org/10.1016/j.heliyon.2022.e08960,Elsevier,journal_article,"Riesgo de crédito bancario, mercados emergentes — ref [3]","Empirics on NPL determinants (53 MENA banks, 2000-2019): GDP growth, unemployment, capitalization, inefficiency and ownership concentration drive NPLs. Supports background claims on why NPLs matter and their macro/bank drivers. This is manuscript ref [3].",C-03,YES,YES,"M. Naili and Y. Lahrichi, “Banks’ credit risk, systematic determinants and specific factors: recent evidence from emerging markets,” Heliyon, vol. 8, no. 2, Art. no. e08960, Feb. 2022, doi: 10.1016/j.heliyon.2022.e08960.","Año correcto: 2022 (el inventario previo decía 2017). PARTIAL para C-03 (riesgo de crédito en mercados emergentes, banca — no SFPS). NO_SUPPORT para la cita [3] de la provisión SEPS 100% en 1.1: el texto completo no menciona SEPS, provisiones ni Ecuador (0 coincidencias). | Printed running citation reads Heliyon 8 (2022) e08960 and (c) 2022 The Authors; accepted 11 February 2022 - year is 2022, correcting the prior inventory entry 8 (2017). | Issue number not printed in the PDF header (Crossref issue 2)."
